,Density,PoreAvgVolume,henry_coeff
22080N2.cif,0.66728,2509.23,1.15997e-05
19460N2.cif,0.694681,1493.28,0.000426064
19572N2.cif,0.614819,5512.56,3.04511e-06
19140N2.cif,0.785279,2136.36,0.000668597
21720N2.cif,0.796824,2440.47,0.000133547
12062N2.cif,0.839477,7318.74,2.55682e-06
16361N2.cif,0.383347,7017.23,4.06953e-06
12012N2.cif,0.641198,12354.3,2.94499e-06
20170N2.cif,0.617743,4864.12,2.99315e-06
21230N2.cif,0.474191,7418.2,0.000193012
16053N2.cif,0.573461,8847.2,7.50125e-06
21320N2.cif,0.553442,7472.93,4.89528e-05
16420N2.cif,0.742764,2549.17,0.00376917
19292N2.cif,0.664142,8484.78,1.88947e-05
19421N3.cif,0.151002,61240.9,7.14826e-06
22292N2.cif,0.857266,3517.59,3.36027e-06
13090N2.cif,0.577518,4323.16,5.26665e-06
16271N2.cif,0.456346,10421.9,1.26481e-05
22451N2.cif,0.469474,5983.45,3.09625e-06
20142N2.cif,0.772312,2129.07,8.20373e-06
19482N2.cif,0.638391,4888.68,9.80629e-06
21315N3.cif,0.39873,6722.33,3.36735e-06
22100N2.cif,0.720067,1605.06,0.00238039
13170N2.cif,0.596881,5477.25,4.26287e-06
22510N2.cif,0.361841,11320.0,1.98323e-05
19061N2.cif,0.560088,2733.46,4.69763e-06
22453N2.cif,0.50704,9717.67,1.21002e-05
15090N2.cif,0.544359,6762.38,3.62301e-06
17140N2.cif,0.528654,3133.32,5.37736e-06
16360N2.cif,0.544121,3071.61,3.61918e-06
21073N2.cif,0.798294,1370.61,1.31627e-05
21050N2.cif,0.392149,15979.6,2.17889e-05
15160N2.cif,0.820147,700.999,0.000700862
13070N2.cif,0.705914,3070.37,0.000217044
16054N2.cif,0.651668,6392.91,2.72428e-05
16480N2.cif,0.58249,2349.56,2.47629e-06
19411N2.cif,0.48924,11992.4,3.8957e-06
13011N2.cif,0.506384,8346.88,2.36954e-06
12000N2.cif,0.741116,1497.19,0.00112077
221010N2.cif,0.487066,7396.82,4.414e-06
22342N2.cif,0.936534,2706.76,5.64697e-05
20392N2.cif,0.466584,11425.0,4.10724e-06
19440N2.cif,1.07122,652.588,3.50183e-06
20166N2.cif,0.507323,5606.31,4.15051e-05
17100N2.cif,0.534228,5226.09,6.94509e-06
15131N2.cif,0.418859,6918.08,4.78043e-06
16481N2.cif,0.60475,2241.06,2.89401e-06
13182N3.cif,1.05784,496.538,7.6989e-06
21111N3.cif,0.557303,5938.81,7.2557e-06
13191N2.cif,0.576409,4306.53,3.18711e-06
21424N2.cif,0.632075,4910.85,3.68057e-06
2245eN2.cif,0.800213,2357.95,6.57078e-06
22001N2.cif,0.803678,7782.86,2.12964e-06
221011N2.cif,0.530966,2929.98,5.57926e-06
20530N2.cif,0.568392,8240.39,9.59496e-05
12050N2.cif,0.832544,599.981,3.06673e-06
20403N2.cif,0.61793,4307.05,1.54516e-05
21290N2.cif,0.43287,11412.2,3.40633e-06
18023N3.cif,0.588891,2118.33,1.49381e-05
16272N2.cif,0.375032,16625.4,6.33672e-06
19290N2.cif,0.602858,10824.6,7.30386e-06
14091N2.cif,0.480058,4384.07,0.00108735
17156N2.cif,0.878368,2649.59,0.000372866
21031N2.cif,0.72702,1801.31,3.59712e-06
17150N2.cif,0.447461,6237.31,1.69329e-05
17070N2.cif,0.462755,5434.61,1.05791e-05
21350N2.cif,0.312227,8273.1,6.58222e-06
20700N2.cif,0.569017,2527.8,5.37103e-05
22143N2.cif,0.723731,2087.98,0.000238962
21080N2.cif,0.458868,6361.23,1.66758e-05
20510N2.cif,0.431664,11310.1,8.36611e-06
19170N2.cif,0.583714,7249.77,3.73837e-05
21430N2.cif,1.1033,957.087,0.000631536
20282N2.cif,0.499172,7575.22,3.0665e-06
22242N3.cif,0.212817,20654.0,7.92074e-06
18140N2.cif,0.425624,3480.63,4.31701e-06
19490N2.cif,0.776504,1961.68,4.20391e-06
17131N2.cif,0.649875,7814.22,3.03982e-06
20182N2.cif,0.54192,2752.15,1.67644e-05
19330N2.cif,0.51396,8990.12,1.15557e-05
19240N3.cif,0.888677,867.538,2.15323e-06
21012N2.cif,0.416504,6976.15,0.000578468
11001N2.cif,0.736441,1879.56,0.000940462
12010N2.cif,0.598516,12389.7,3.16914e-06
11003N2.cif,0.493244,5765.97,0.000907327
21140N2.cif,0.801267,906.199,2.29131e-05
2245aN2.cif,0.503446,5499.85,2.1102e-06
19571N2.cif,0.553146,5252.44,5.1528e-05
22232N2.cif,0.506994,10418.5,4.43619e-06
13190N2.cif,0.884416,1303.15,2.68984e-06
19483N2.cif,0.721321,1132.91,4.69119e-07
21520N3.cif,0.37185,3628.01,1.26509e-05
20340N2.cif,0.695968,1956.66,0.000558974
17210N2.cif,0.59928,2393.75,0.0561762
19452N2.cif,0.388654,12320.9,0.000261096
22280N2.cif,1.05628,874.925,3.11143e-06
20281N2.cif,0.47916,8002.77,3.69723e-06
20651N3.cif,0.748765,1181.08,0.000107504
21800N2.cif,0.425875,6970.49,8.27054e-06
22031N2.cif,1.43569,889.169,2.75369e-05
20610N2.cif,0.396672,5997.08,3.35566e-06
19360N2.cif,0.376184,6352.53,3.42483e-06
22440N2.cif,0.532659,2864.83,1.88975e-05
21550N3.cif,0.938738,877.643,1.00657e-05
21011N2.cif,0.407076,6691.19,1.4706e-05
20470N2.cif,0.54985,7097.14,0.00011924
13080N2.cif,0.797164,2585.53,3.84026e-06
16312N2.cif,0.543966,3358.86,6.40788e-06
18090N2.cif,0.435094,9359.1,5.62587e-06
22240N3.cif,0.392108,5689.25,7.66023e-06
16190N2.cif,0.727662,3517.94,1.40298e-05
