,cof,h2_77K_1bar,h2_77K_5bar,h2_77K_25bar,h2_77K_50bar,h2_77K_75bar,h2_77K_100bar,h2_198K_1bar,h2_198K_5bar,h2_198K_25bar,h2_198K_50bar,h2_198K_75bar,h2_198K_100bar,h2_298K_1bar,h2_298K_5bar,h2_298K_25bar,h2_298K_50bar,h2_298K_75bar,h2_298K_100bar,Density,PoreAvgVolume,henry_coeff,henry_coeff_198,henry_coeff_298,henry_coeff_77
446,21551N3.cif,15.270143315525,21.882585012565,27.982953518424,30.105635199443,31.308382376919,32.191445364163,0.24992878540226,1.1630113088387,4.7780486577596,7.8951099221257,10.04983303513,11.833706761615,0.074557407337375,0.3659631383882,1.7091759097068,3.1832783516618,4.4549384773217,5.62381890038,0.71401,1231.63,,2.5219e-06,7.52105e-07,0.000810781
447,14040N2.cif,7.1124272570796,15.429242354795,28.055899194334,36.217894157048,41.76486001812,45.831508537799,0.19269313543493,0.94222508469453,4.3049940638353,7.9874042295791,11.1641776318,14.020484007897,0.08895117480691,0.44081661951938,2.0590574193141,4.096362225645,5.9604554508414,7.7396358564886,0.4341,8031.59,,1.93378e-06,8.88012e-07,0.000140847
448,16510N2.cif,9.5762843663457,16.248112556131,21.092119055907,22.684729709402,23.526389552423,24.168014412675,0.14239384339936,0.68012204182571,2.9351485138048,4.9935308861554,6.5720625925751,7.8281697460892,0.046216769426605,0.2292624585104,1.0638537632568,2.0233574552075,2.8685321909212,3.6734813633813,0.781202,1924.06,,1.45252e-06,4.68279e-07,0.000294791
449,22550N2.cif,6.274084482398,13.763157562106,23.474735339493,28.028238825602,30.882905992221,33.017744101573,0.13941051184,0.70488675735555,3.1111702794425,5.7269517252825,7.9442208856325,9.894401211743,0.0567501672375,0.29838741132195,1.470307026477,2.717511375243,3.9349457709905,5.0925727514645,0.595499,3513.64,,1.42362e-06,6.02345e-07,0.000105322
450,20203N2.cif,10.261470004541,18.309023605839,29.094282574856,35.606173115369,40.008942216291,43.259145933241,0.21418316993228,1.0344619644041,4.6190298502708,8.3003810756667,11.350645984997,14.022267069813,0.088068126282251,0.43708155315126,2.0283547105607,3.968893524953,5.7235122144332,7.3650455355767,0.467079,11616.3,,2.16343e-06,8.74387e-07,0.00033579
451,21511N3.cif,14.856082605706,23.385901227154,30.604918882431,33.019139026706,34.335761131305,35.470226381076,0.25389119146388,1.2476640032139,4.9230711030519,8.2577475668916,10.652563916428,12.513686354007,0.077674883020276,0.38383691238595,1.6972350018554,3.2694797134391,4.524338046699,5.8862754750298,0.622518,3869.05,,2.67785e-06,7.58409e-07,0.00170513
452,20590N2.cif,7.8543466173694,15.506346801387,26.583377439468,32.60008114125,36.765337079136,39.827769253019,0.20727673629487,0.97514591872965,4.2470649647044,7.5638667685812,10.313581727271,12.671660621555,0.080890970408066,0.40554291894178,1.8491016196948,3.5897025724857,5.1934791179815,6.7740662385755,0.504711,7009.54,,2.07678e-06,7.98943e-07,0.00123998
453,16111N3.cif,8.2899670966193,30.793384435706,76.419955312444,102.87118542116,118.84516300088,129.74296130742,0.47877027653565,2.3111866549154,11.08157297656,20.924069814928,29.814624855561,37.763336310138,0.23893135786956,1.2044865675525,5.7247145488612,11.258189420583,16.523358642739,21.377364476428,0.19318,58732.8,,4.76329e-06,2.40495e-06,9.07514e-05
454,14050N3.cif,16.792870751016,38.84194798651,58.235191240706,64.645096739374,67.958221304956,70.357716721177,0.36222298702913,1.7665702813082,7.7486515779258,13.853324675102,18.70464356882,22.6694060347,0.1406402815728,0.67768286109612,3.1823482802299,6.113559467342,8.8114063016688,11.166118924373,0.393492,3063.78,,3.68782e-06,1.38386e-06,0.000262628
455,22221N2.cif,7.1682920143846,19.651229935811,42.50089529452,61.110031598734,75.908981099652,87.882634509165,0.34801542234085,1.6568762460735,8.0080740194187,15.250677759125,21.920452651204,27.991568118482,0.18438457371538,0.91904040675139,4.5160180181659,8.780964313724,12.951682002624,16.826175599283,0.215565,28854.4,,3.43916e-06,1.85928e-06,0.000102029
