,cof,o2_298K_1bar,o2_298K_5bar,o2_298K_10bar,o2_298K_20bar,o2_298K_30bar,o2_298K_50bar,o2_298K_80bar,o2_298K_100bar,o2_298K_140bar,o2_298K_200bar,Density,PoreAvgVolume,henry_coeff
79,19041N2.cif,0.19047156481251,0.91784958560088,1.7375265174371,3.2079523134329,4.5367127094281,6.8379446339868,9.7703333993007,11.363296288423,14.053354523621,17.082177005712,0.521034,5573.37,1.88189e-06
80,19080N2.cif,0.32191018017678,1.4348434401469,2.6691474364352,4.5752617619365,6.0747809284855,8.4892477404214,11.060660130483,12.442932994994,14.608682373789,16.841444232773,0.575762,3445.47,3.29132e-06
81,20380N2.cif,0.22039009357554,1.0415736429143,1.9115029562011,3.6187154543264,5.0387518213665,7.2718772342506,9.8363665961938,11.202128934281,13.272930187176,15.541765893869,0.654646,3161.22,2.2013e-06
82,19441N2.cif,0.31310740650245,0.96011896830748,1.4089161655971,1.8759435002432,2.1333146604805,2.4508500713987,2.7162760739048,2.8251675627779,2.989953612267,3.1612257527313,1.06779,677.131,3.7857e-06
83,20564N3.cif,0.53736101195407,2.5615469556356,4.8397489473866,8.5699324473209,11.480055698317,15.288604614881,18.655734622348,20.067564831866,22.158015270064,24.154112093579,0.568549,3782.39,5.44839e-06
84,08011N2.cif,0.16940754900599,0.74706542853896,1.2815858568819,2.1779907122656,2.8348397056454,3.726644800112,4.5771382428667,4.9421335814646,5.4662869166333,6.0465542005707,0.98834,730.396,1.74552e-06
85,17152N2.cif,0.23958254631119,1.1434380571942,2.1585652848568,3.9395943182565,5.3998841425412,8.0934018372278,11.123309481621,12.967824986812,15.886763831947,18.863736632805,0.477578,5929.38,2.40978e-06
86,21650N2.cif,0.099669920167125,0.46638966754462,0.88147241876925,1.561226707854,2.0762421490429,2.8010458702957,3.4475085622024,3.7293091278548,4.1527916051366,4.5662175705217,1.29686,1118.55,1.0123e-06
87,18161N2.cif,0.24053470180304,1.10345065231,2.1201321323,3.763827121319,5.1775834050445,7.2388754664337,9.3865938650415,10.393994878563,11.965694496264,13.617593608991,0.717263,2009.02,2.43557e-06
88,19230N2.cif,0.2766735150102,1.292306626611,2.4299614091214,4.4207055102672,6.0250172998831,8.7379860188729,11.850803362463,13.483394635511,16.139166960997,19.077228226647,0.511933,10224.6,2.80175e-06
